HD001,NV001,KH001,2023-01-15,5718000.0
HD002,NV002,KH002,2023-02-10,6682000.0
HD003,NV003,KH003,2023-03-05,1.0144E7
HD004,NV001,KH001,2023-06-20,8660000.0
HD005,NV002,KH004,2023-08-12,1.1288E7
HD006,NV003,KH002,2023-09-25,1.3678E7
HD007,NV001,KH003,2023-11-10,9834000.0
HD008,NV002,KH001,2024-01-05,1.178E7
HD009,NV003,KH007,2024-02-14,1.559E7
HD010,NV001,KH002,2024-03-22,1.1078E7
HD011,NV002,KH001,2024-04-18,1.7368E7
HD012,NV003,KH008,2024-05-30,8242000.0
HD013,NV001,KH003,2024-07-08,1.9244E7
HD014,NV002,KH009,2024-08-15,1.1344E7
HD015,NV003,KH001,2024-10-20,1.48E7
HD016,NV001,KH002,2025-01-10,2.699E7
HD017,NV002,KH003,2025-02-25,1.115E7
HD018,NV003,KH001,2025-03-15,2.0894E7
HD019,NV001,KH004,2025-04-05,1.5592E7
HD020,NV002,KH002,2025-05-20,2.3106E7
HD021,NV003,KH001,2025-06-12,2.9352E7
HD022,NV001,KH007,2025-07-08,1.184E7
HD023,NV002,KH003,2025-08-22,1.98E7
HD024,NV003,KH002,2025-09-18,2.6336E7
HD025,NV001,KH001,2025-10-30,2.2156E7
HD026,NV002,KH008,2025-11-15,1.1984E7
HD027,NV003,KH003,2026-01-20,3.188E7
HD028,NV001,KH001,2026-02-14,1.7142E7
HD029,NV002,KH002,2026-03-10,2.3154E7
HD030,NV003,KH009,2026-04-25,3.409E7
Tong: 30
