HD001,S001,3,85000.0,255000.0
HD001,S002,2,92000.0,184000.0
HD002,S003,4,99000.0,396000.0
HD002,S004,1,115000.0,115000.0
HD003,S001,5,85000.0,425000.0
HD003,S011,3,87000.0,261000.0
HD003,S012,1,91000.0,91000.0
HD004,S002,4,92000.0,368000.0
HD004,S003,3,99000.0,297000.0
HD005,S004,6,115000.0,690000.0
HD005,S011,2,87000.0,174000.0
HD006,S001,8,85000.0,680000.0
HD006,S012,4,91000.0,364000.0
HD007,S002,5,92000.0,460000.0
HD007,S003,3,99000.0,297000.0
HD008,S011,7,87000.0,609000.0
HD008,S013,3,97000.0,291000.0
HD009,S001,10,85000.0,850000.0
HD009,S004,3,115000.0,345000.0
HD010,S002,6,92000.0,552000.0
HD010,S003,3,99000.0,297000.0
HD011,S011,9,87000.0,783000.0
HD011,S012,6,91000.0,546000.0
HD012,S001,4,85000.0,340000.0
HD012,S013,3,97000.0,291000.0
HD013,S002,11,92000.0,1012000.0
HD013,S004,4,115000.0,460000.0
HD014,S003,7,99000.0,693000.0
HD014,S011,2,87000.0,174000.0
HD015,S001,8,85000.0,680000.0
HD015,S012,5,91000.0,455000.0
HD016,S002,15,92000.0,1380000.0
HD016,S004,6,115000.0,690000.0
HD017,S003,6,99000.0,594000.0
HD017,S011,3,87000.0,261000.0
HD018,S001,12,85000.0,1020000.0
HD018,S013,6,97000.0,582000.0
HD019,S002,8,92000.0,736000.0
HD019,S004,4,115000.0,460000.0
HD020,S011,13,87000.0,1131000.0
HD020,S012,7,91000.0,637000.0
HD021,S001,16,85000.0,1360000.0
HD021,S003,9,99000.0,891000.0
HD022,S002,7,92000.0,644000.0
HD022,S011,3,87000.0,261000.0
HD023,S004,9,115000.0,1035000.0
HD023,S013,5,97000.0,485000.0
HD024,S001,14,85000.0,1190000.0
HD024,S002,9,92000.0,828000.0
HD025,S003,11,99000.0,1089000.0
HD025,S011,7,87000.0,609000.0
HD026,S012,8,91000.0,728000.0
HD026,S013,2,97000.0,194000.0
HD027,S001,18,85000.0,1530000.0
HD027,S004,8,115000.0,920000.0
HD028,S002,10,92000.0,920000.0
HD028,S003,4,99000.0,396000.0
HD029,S011,12,87000.0,1044000.0
HD029,S012,8,91000.0,728000.0
HD030,S001,20,85000.0,1700000.0
HD030,S004,8,115000.0,920000.0
Tong: 61
